ns,fillings
5,0.9142857142857143
6,0.8888888888888888
7,0.9142857142857144
8,0.9411764705882353
9,0.9481481481481482
10,0.9481481481481481
11,0.9547785547785548
12,0.9561157796451915
13,0.9606003752345216
14,0.9631981187536743
